Table Number,Table Name,Count
50,Pale Lager,36
51,Light Ale,25
52,Commonwealth Beer,22
53,Pale  German Beer,31
54,Pale European Lager,36
55,Kolsch and Blonde,25
56,Oktoberfest,30
57,European Ambers and Bocks,35
58,Amber Bitter European Beer,36
59,Dark European Lager,36
60,Strong European Beer,33
61,German Wheat Beer,32
62,British Bitter,35
63,Brown British Beer,36
64,Scottish and Irish Ale,35
65,Stout and Porter,36
66,British Stout,26
67,Strong British Ale,29
68,Pale American Ale,29
69,Amber And Brown American Beer,36
70,American Porter And Stout,23
71,Imperial Stout,20
72,American IPA,28
73,Specialty IPA,21
74,Hazy and Experimental IPA,24
75,Strong American Ale,23
76,Barleywines,36
77,European Sour Ale,28
78,Belgian Ale,34
79,Belgian Blonde and Saison,32
80,Strong Light Belgian Ale,26
81,Strong Dark Belgian Ale,34
82,Fruit Beer,30
83,Spice Herb Vegetable Beer,25
84,Autumn Winter Seasonal,20
85,Smoke Beer,29
86,Wood Aged Beer,24
87,American Wild Ale,25
88,Specialty Beer,36
89,Traditional Mead,35
90,Melomel,36
91,Spiced And Specialty Mead,36
92,Cider And Perry,33
93,Specialty Cider And Perry,36
